	lu1	word_1	senseDescription_1	relation	lu2	word_2	senseDescription_2
1285	24804	site	The place at which an event takes place; may be on any scale: the site of the factory, the instertion site of the hypodermic.	hyponym	16370	apron	a protective garment covering the front of one' s clothes and tied at the back. [Clothing] 
1286	17442	point	a particular spot or location. 	hyponym	12758	position	a way in which someone or something is placed or arranged.
1296	17499	seat	clothing that covers a person' s buttocks. 	part_holonym	17505	skirt	the part of a coat or dress that hangs below the waist. 
1310	17520	neckband	a strip of material round the neck of a garment	hypernym	15632	band	a group of animals or people
1315	17522	territory	an area under the jurisdiction of a ruler or state. 	hypernym	17432	area	a region of an expanse
1317	17524	province	a principal administrative division of a country or empire. 	hypernym	23513	area	a subject or range of activity.
1322	17538	world	the earth with all its countries and peoples	hypernym	25458	part	a component of a vehicle that has a distinct function
1330	17575	center	a place or group of buildings where a specified activity is concentrated.	hyponym	24643	capital	the governmental or administrative head city of a region.
1342	17587	university	a high-level educational institution in which students study for degrees and academic research is done.	hypernym	16075	body	the physical structure, including the bones, flesh, and organs, of a person or an animal. 
1346	17592	settlement	a place where people establish a community.	hypernym	21816	agreement	a contract by which one party conveys land, property, services, etc. to another for a specified time. 
1350	17600	park	a large public garden in a town, used for recreation.	hypernym	15791	gear	apparatus or equipment
1351	17604	college	(in Britain) any of the independent institutions into which some universities are separated.	hypernym	16075	body	the physical structure, including the bones, flesh, and organs, of a person or an animal. 
1364	17622	bathhouse	a building for bathing, typically for public use.	hypernym	17038	house	a building for human habitation
1370	17682	action	a thing done.	hyponym	13941	arrival	the act of arriving
1371	17682	action	a thing done.	hyponym	23252	change	the process of changing
1372	17682	action	a thing done.	hyponym	23099	employment	application or use in a particular situation.
1373	17682	action	a thing done.	hyponym	23871	accomplishment	something that has been achieved successfully.
1374	17682	action	a thing done.	hyponym	22980	transgression	an act that defies moral precepts.
1375	17682	action	a thing done.	hyponym	23097	application	the action of putting something into operation.
1379	17687	activity	an action taken in pursuit of an objective	hyponym	20736	help	assistance
1380	17687	activity	an action taken in pursuit of an objective	hyponym	13857	pleasure	feeling of happy satisfaction and enjoyment.
1381	17687	activity	an action taken in pursuit of an objective	hyponym	25798	control	a subject or group of subjects in an experiment which are left untreated and are then compared with treated subjects in order to validate or invalidate a hypothesis
1382	17687	activity	an action taken in pursuit of an objective	hyponym	21171	dismantlement	the act of taking something apart.
1383	17687	activity	an action taken in pursuit of an objective	hyponym	13090	search	an act of searching. 
1384	17687	activity	an action taken in pursuit of an objective	hyponym	25002	enjoyment	Fn: pleasure
1385	17687	activity	an action taken in pursuit of an objective	hyponym	13191	negotiation	discussion with others to try to reach an agreement or compromise
1386	17687	activity	an action taken in pursuit of an objective	hyponym	18729	preparation	the act or process of making food ready for cooking and/or eating
1387	17687	activity	an action taken in pursuit of an objective	hyponym	15998	attempt	an act of attempting
1388	17687	activity	an action taken in pursuit of an objective	hyponym	22287	representation	an image, model, or other depiction of something.
1389	17687	activity	an action taken in pursuit of an objective	hyponym	25772	operation	a set of military actions carried out with a certain goal or goals.
1390	17687	activity	an action taken in pursuit of an objective	hyponym	24667	work	activity involving mental or physical effort done in order to achieve a result.
1391	17687	activity	an action taken in pursuit of an objective	hyponym	21586	conduct	the manner in which a person behaves
1392	17687	activity	an action taken in pursuit of an objective	hyponym	20288	operation	a business organization; a company. 
1393	17687	activity	an action taken in pursuit of an objective	hyponym	22377	buzz	a low, continuous humming or murmuring sound, made by or similar to that made by an insect
1394	17687	activity	an action taken in pursuit of an objective	hyponym	18999	creation	the action or process of creating
1395	17687	activity	an action taken in pursuit of an objective	hyponym	25900	use	the action of using or state of being use; a purpose or way in which something can be used.
1396	17687	activity	an action taken in pursuit of an objective	hyponym	20564	practice	the customary or expected procedure or way of doing something. 
1397	17687	activity	an action taken in pursuit of an objective	hyponym	23900	provision	a condition or requirement in a legal document.
1412	24067	path	the direction in which a person or thing moves.	hypernym	25539	way	the trajectory that will lead a theme from some prior location to a desire or intended goal. 
1417	17756	avenue	a broad road or path, especially one lined with trees. 	hypernym	24482	approach	a way of dealing with something.
1421	17757	artery	an important route in a traffic or transport system. 	hypernym	17781	thoroughfare	a road or path forming a route between two places. 
1426	24065	course	the route or direction followed by a ship, aircraft, road, or river	hypernym	25138	series	entities placed in some temporal order
1427	24065	course	the route or direction followed by a ship, aircraft, road, or river	hyponym	23930	current	the flow of electrons providing power to electrical devices.
1431	17773	lane	a narrow road, especially in a rural area. 	hypernym	25539	way	the trajectory that will lead a theme from some prior location to a desire or intended goal. 
1436	17781	thoroughfare	a road or path forming a route between two places. 	hyponym	17757	artery	an important route in a traffic or transport system. 
1440	17799	junkie	a drug addict	hypernym	17793	addict	a person who is addicted to something
1441	17793	addict	a person who is addicted to something	hyponym	17799	junkie	a drug addict
1446	19808	trip	a journey or excursion, especially for pleasure.	hyponym	19809	junket	 an extravagant trip, especially one by an official at public expense
1447	19808	trip	a journey or excursion, especially for pleasure.	hyponym	22602	flight	a stair between floors/landings usually forming part of a larger stair .
1454	17851	score	a group or set of twenty	hypernym	15640	set	a group or collection of things belonging or used together or resembling one another
1456	17883	excoriation	censure or severe criticism	hypernym	17930	denouncement	the public declaration of something or someone as wrong.
1457	17889	deprecation	an expression of disapproval	hypernym	17936	disparagement	the action of representing something as low quality.
1458	17892	execration	cursing or denouncing somebody	hypernym	21651	object	a goal or purpose
1462	17923	criticism	the expression of disapproval of someone or something based on perceived faults or mistakes.	hyponym	12993	stricture	 a sternly critical remark
1463	17923	criticism	the expression of disapproval of someone or something based on perceived faults or mistakes.	hyponym	17964	attack	the act of blaming, abusing, or criticizing vehemently
1465	17930	denouncement	the public declaration of something or someone as wrong.	hyponym	17883	excoriation	censure or severe criticism
1466	17930	denouncement	the public declaration of something or someone as wrong.	hyponym	12972	damnation	condemnation to eternal punishment in hell
1470	17936	disparagement	the action of representing something as low quality.	hypernym	12975	disapproval	the act or state of disapproving
1471	17936	disparagement	the action of representing something as low quality.	hyponym	17889	deprecation	an expression of disapproval
1485	21466	assault	an act that threatens physical harm to a person, whether or not actual harm is done.	hyponym	19331	storm	a violent disturbance of the atmosphere with strong winds and usually rain, thunder, lightning, or snow. 
1487	21466	assault	an act that threatens physical harm to a person, whether or not actual harm is done.	part_holonym	21286	attack	 an instance of attacking.
1488	17964	attack	the act of blaming, abusing, or criticizing vehemently	hypernym	17923	criticism	the expression of disapproval of someone or something based on perceived faults or mistakes.
1490	18109	hour	a period of time equal to a twenty-fourth part of a day and night and divided into 60 minutes	hypernym	15079	period	a length or portion of time. 
1491	18111	second	a sixtieth of a minute of time, which as the SI unit of time is defined in terms of the natural periodicity of the radiation of a caesium-133 atom	hypernym	23612	rank	a level within a hierarchy of merit
1495	18060	day	a twenty-four-hour period as a unit of time, reckoned from one midnight to the next and corresponding to a rotation of the earth on its axis	hypernym	15079	period	a length or portion of time. 
1496	25170	day	a period of time in an entity' s past	hypernym	25171	time	an indefinite period of time
1500	18087	year	the period of 365 days (or 366 days in leap years) starting from the first of January, used for reckoning time in ordinary affairs	hypernym	15079	period	a length or portion of time. 
1502	25160	time	a particular instance of the occurence of an event.	hypernym	16305	instance	a particular case
1503	25171	time	an indefinite period of time	hypernym	15079	period	a length or portion of time. 
1504	25171	time	an indefinite period of time	hyponym	25170	day	a period of time in an entity' s past
1505	25167	time	a particular moment in time	hyponym	25166	occasion	an instance of an event.
1511	18066	dawn	the first appearance of light in the sky before sunrise	hypernym	23759	start	the beginning.
1514	18081	evening	the period of time at the end of the day, between late afternoon and bedtime	hypernym	15079	period	a length or portion of time. 
1515	18083	night	the time from sunset to sunrise	hypernym	15079	period	a length or portion of time. 
1524	22610	age	the length of time that a person or thing has existed.	part_holonym	19455	life	The state of an organism in which its biological processes are in normal operation, including metabolism and (for higher organisms) the nervous system, blood circulation, respiration, etc.
1531	24487	process	a series of actions or steps towards achieving a particular end.	hyponym	19541	evolution	the gradual development of an entity
1534	22828	cold	low temperature, usually below freezing.	hypernym	22826	temperature	the degree of heat of outside air
1538	25027	shock	Fn: the state of surprise	hypernym	25028	surprise	the occurence of something unexpected
1542	24098	condition	the state of something or someone, with regard to appearance, fitness, or working order.	hypernym	25529	state	general descriptive term of a phase of matter. 
1544	25856	disorder	a state of chaos or confusion	antonym	25857	order	a state of non-confusion; the opposite of chaos
1545	25856	disorder	a state of chaos or confusion	hypernym	25529	state	general descriptive term of a phase of matter. 
1552	18360	confinement	the action of forcing or keeping withing a contained area.	hyponym	24163	commitment	the act of sending to a psychiatric hospital
1553	18360	confinement	the action of forcing or keeping withing a contained area.	hypernym	25693	restraint	the act of restraining or holding back
1554	18364	constraint	something that forcibly confines (someone or something)	hyponym	21203	bond	 physical restraints used to hold someone prisoner.
1555	18364	constraint	something that forcibly confines (someone or something)	hyponym	25454	brake	a device that is used to slow down or stop a moving vehicule. 
1561	21651	object	a goal or purpose	hyponym	29806	love	a person or thing that one loves
1562	21651	object	a goal or purpose	hyponym	13860	antipathy	a deep-seated feeling of aversion
1563	21651	object	a goal or purpose	hyponym	17892	execration	cursing or denouncing somebody
1564	18380	thing	an individuable object.	hyponym	25458	part	a component of a vehicle that has a distinct function
1565	18380	thing	an individuable object.	hyponym	22475	variable	an uncertain fact that something else depends on.
1576	18464	midwifery	the thechniques and practice of a person trained to assist women in childbirth	hypernym	23508	delivery	the action of delivering something, especially letters or goods.
1587	18714	distribution	the fact of handing or sharing out  to a number of recipients.	hyponym	20746	assignment	a task or duty assigned to someone
1591	18822	breath	an inhalation or exhalation of air from the lungs. 	hyponym	18826	exhalation	air expelled by breathing out.
1592	18825	sigh	 a long, deep, audible exhalation expressing sadness, tiredness, relief, etc. 	hypernym	22451	sound	a thing that can be heard.
1595	18826	exhalation	air expelled by breathing out.	hypernym	18822	breath	an inhalation or exhalation of air from the lungs. 
1596	18868	evasion	the act of eluding capture or a person intending to capture	hyponym	23388	dodge	an instance of dodging
1600	18903	poultry	.mass noun chickens, turkeys, ducks, and geese; domestic fowl. 	hypernym	21452	bird	an aircraft.
1603	18915	butter	mass noun a pale yellow edible fatty substance made by churning cream and used as a spread or in cooking. 	hypernym	25608	fighter	a combatant.
1605	18921	herb	any plant with leaves, seeds, or flowers used for flavouring, food, medicine, or perfume. 	hyponym	18924	basil	an aromatic plant of the mint family, native to tropical Asia, used as a culinary herb. 
1607	18924	basil	an aromatic plant of the mint family, native to tropical Asia, used as a culinary herb. 	hypernym	18921	herb	any plant with leaves, seeds, or flowers used for flavouring, food, medicine, or perfume. 
1609	22408	peal	a loud sound or succession of sounds, especially of bells or laughter	hypernym	22451	sound	a thing that can be heard.
1612	18951	dressing	also salad dressing mass noun a sauce for salads, usually consisting of oil and vinegar with herbs or other flavourings. 	hyponym	24570	investment	the act or process of laying siege to.
1617	18999	creation	the action or process of creating	hypernym	17687	activity	an action taken in pursuit of an objective
1618	18999	creation	the action or process of creating	hyponym	19007	production	creation
1620	20284	establishment	a business organization, public institution, or household	hyponym	24112	institution	an organization founded for a religious, educational, or social purpose.
1622	25253	product	a number that results from multiplication	hyponym	23457	paper	a physical entity, usually in sheet form, made out of wood pulp or other fibrious material normally used for written or printed communication
1623	25253	product	a number that results from multiplication	hyponym	25196	work	the product or result of one' s effort.
1624	25253	product	a number that results from multiplication	hyponym	25787	book	the records of the accounts of a business (usually plural); any other binded pages which contain recorded data
1626	19007	production	creation	hypernym	18999	creation	the action or process of creating
1627	25197	output	the results of work on a task or project	hyponym	19925	pick	a selected option
1631	19009	synthesis	the production of chemical compounds by reaction from simpler materials.	hypernym	19431	reasoning	an explanation 
1643	20742	task	a piece of work. 	hypernym	20740	duty	a moral or legal obligation; a task required as part of one' s job. 
1647	20742	task	a piece of work. 	hyponym	19040	stint	an allotted period of work. 
1648	19040	stint	an allotted period of work. 	hypernym	20742	task	a piece of work. 
1649	25900	use	the action of using or state of being use; a purpose or way in which something can be used.	hyponym	21657	application	practical use or relevance
1650	25900	use	the action of using or state of being use; a purpose or way in which something can be used.	hyponym	22539	practice	a session of practising
1651	25900	use	the action of using or state of being use; a purpose or way in which something can be used.	hypernym	17687	activity	an action taken in pursuit of an objective
1660	21312	fire	attack by projectile weapons.	hypernym	21286	attack	 an instance of attacking.
1666	19186	diary	1. a book in which one keeps a daily record of events and experiences. 	hypernym	25790	journal	a book in which data is kept
1667	19187	drama	a play. 	hypernym	17176	episode	an occurance 
1670	19192	essay	1. a piece of writing on a particular subject.	hypernym	15998	attempt	an act of attempting
1672	19202	mystery	a novel, play, or film dealing with a puzzling crime. 	hypernym	13550	perplexity	the state of being puzzled or perplexed.
1674	19211	song	a short poem or other set of words set to music. 	hypernym	22451	sound	a thing that can be heard.
1677	19228	account	1. a description of an event or experience.	hypernym	21018	importance	the state or quality of being important
1683	25790	journal	a book in which data is kept	hyponym	19186	diary	1. a book in which one keeps a daily record of events and experiences. 
1684	23457	paper	a physical entity, usually in sheet form, made out of wood pulp or other fibrious material normally used for written or printed communication	hypernym	25253	product	a number that results from multiplication
1689	23542	material	the matter from which a thing is or can be made	hypernym	23532	equipment	the process of supplying needed resources
1690	19567	issuance	an instance of making a provision known or accepted. 	hypernym	23900	provision	a condition or requirement in a legal document.
1691	25641	publication	making a work (generally a written text) publicly available.	hypernym	13177	communication	the action of communicating
1692	19455	life	The state of an organism in which its biological processes are in normal operation, including metabolism and (for higher organisms) the nervous system, blood circulation, respiration, etc.	hypernym	15079	period	a length or portion of time. 
1693	19455	life	The state of an organism in which its biological processes are in normal operation, including metabolism and (for higher organisms) the nervous system, blood circulation, respiration, etc.	part_meronym	22610	age	the length of time that a person or thing has existed.
1696	19264	life	a biographical account of a person' s experiences and actions	hypernym	16491	experience	knowledge or skill acquired over time
1704	19268	make-up	cosmetics such as lipstick or powder applied to the face	hypernym	17175	event	a thing that happens or takes place.
1705	19284	jam	informal an awkward situation or predicament:                                            I' m in a jam.	hypernym	20504	difficulty	to state of being hard to deal with
1707	19286	plight	a dangerous, difficult, or otherwise unfortunate situation. 	hypernym	20504	difficulty	to state of being hard to deal with
1727	26224	confirmation	the act or instance of confirming 	hypernym	24061	info	short for information.
1728	19297	communion	the service of Christian worship at which bread and wine are consecrated and shared; the Eucharist	hypernym	26174	intercourse	A sexual act
1729	21727	approval	 the action of approving of something.	hyponym	24196	acceptance	the act of giving a favorable response
1730	21727	approval	 the action of approving of something.	antonym	12975	disapproval	the act or state of disapproving
1733	19303	rite	a religious or other solemn ceremony or act	hyponym	22113	betrothal	the promising of one person to wed another.
1734	19303	rite	a religious or other solemn ceremony or act	hyponym	22118	marriage	the formal union of a man and a woman, typically as recognized by law, by which they become husband and wife.
1736	19304	ritual	a religious or solemn ceremony involving a series of actions performed according to a prescribed order. 	hypernym	20564	practice	the customary or expected procedure or way of doing something. 
1738	19304	ritual	a religious or solemn ceremony involving a series of actions performed according to a prescribed order. 	hyponym	16911	ablution	formal &or. humorous an act of washing. 
1745	19311	confession	a formal admission of one' s sins privately to a priest. 	hypernym	13379	declaration	a formal or explicit statement or announcement
1753	19330	blizzard	a severe snowstorm with high winds. 	hypernym	25138	series	entities placed in some temporal order
1754	19331	storm	a violent disturbance of the atmosphere with strong winds and usually rain, thunder, lightning, or snow. 	hypernym	21466	assault	an act that threatens physical harm to a person, whether or not actual harm is done.
1783	19431	reasoning	an explanation 	hyponym	19009	synthesis	the production of chemical compounds by reaction from simpler materials.
1787	19450	living	the human beings who are alive	antonym	19451	dead	those human beings who are dead
1788	19451	dead	those human beings who are dead	antonym	19450	living	the human beings who are alive
1825	25135	formation	an arrangement of entities forming a recognizable shape	hypernym	22513	arrangement	the action, process, or result of arranging.
1826	25135	formation	an arrangement of entities forming a recognizable shape	hyponym	24334	flight	the act of leaving a place suddenly
1834	19589	worker	a person who works.	hyponym	24316	poster	a mass-produced piece of art (often a reproduction of a painting or photograph) printed on a large piece of thick paper and designed to be put on a wall.
1835	19589	worker	a person who works.	hyponym	21780	assistant	a person who ranks below a senior person.
1836	19589	worker	a person who works.	hyponym	22927	driver	one who is paid to operate a motor vehicle
1841	19614	termination	ending the employment of a person	hypernym	18137	end	The final point in a process.
1843	19627	exterior	the outer surface or structure of something. 	antonym	19628	inside	the inner side or surface of a thing
1850	19628	inside	the inner side or surface of a thing	antonym	19627	exterior	the outer surface or structure of something. 
1852	23751	middle	a middle point or position.	antonym	23757	beginning	the first part of something.
1853	23751	middle	a middle point or position.	antonym	23756	end	a final part of something.
1857	25617	plate	plate armor.	hyponym	16434	shoe	a covering for the foot having a sturdy sole and not reaching above the ankle. 
1859	25617	plate	plate armor.	hypernym	24224	shield	a person or thing providing protection
1860	19633	surface	the outside part or uppermost layer of something.	hyponym	16890	mitre	a tall headdress worn by bishops and senior abbots, tapering to a point at front and back with a deep cleft between. [Eccl] 
1861	19633	surface	the outside part or uppermost layer of something.	hyponym	19623	skin	the peel or outer layer of a fruit or vegetable or a thin outermost layer
1862	19636	sheet	a flat , frequently rectangular portion of a substance	hyponym	21243	board	A long, flat object manufactured for multipurpose use, generally made of wood or particle board and utilized in construction. Other kinds of boards include those for extreme sports, such as snowboards, etc.
1863	19639	stick	a long, thin object or piece of something	hypernym	15777	implement	a tool, utensil, or other piece of equipment, used for a particular purpose. 
1867	19640	strip	a long, narrow piece of cloth, paper, etc. 	hypernym	25458	part	a component of a vehicle that has a distinct function
1868	19640	strip	a long, narrow piece of cloth, paper, etc. 	hyponym	19651	row	a line (often occurring adjacent to other rows)
1870	19641	stretch	a continuous expanse	hypernym	19643	expanse	a wide continuous area of something, typically land or sea. 
1871	19643	expanse	a wide continuous area of something, typically land or sea. 	hyponym	19641	stretch	a continuous expanse
1894	19658	border	a line separating two countries or other areas.	hypernym	19662	edge	COD:.the outside limit of an object, area, or surface. 
1895	19662	edge	COD:.the outside limit of an object, area, or surface. 	hyponym	19658	border	a line separating two countries or other areas.
1912	19782	adequacy	the quality of being just satisfactory or adequate	antonym	19783	inadequacy	a lack of the quality or quantity required; insufficiency
1914	19783	inadequacy	a lack of the quality or quantity required; insufficiency	antonym	19782	adequacy	the quality of being just satisfactory or adequate
1920	19809	junket	 an extravagant trip, especially one by an official at public expense	hypernym	19808	trip	a journey or excursion, especially for pleasure.
1921	24881	choice	a possibility that one can select	hyponym	24880	way	option
1923	19923	selection	the action or fact of selecting, or a number of selected things, or a range of things from which a choice may be made. 	hypernym	24685	assortment	a miscellaneous collection.
1927	19925	pick	a selected option	hypernym	25197	output	the results of work on a task or project
1929	20004	gem	thing that is highly desirable.	hypernym	23515	art	the expression or application of creative skill and imagination, especially through a visual medium such as painting or sculpture.
1930	20058	incompatibility	the state of not being able to exist or be used together	antonym	20059	compatibility	the state of being able to exist or be used together
1933	20059	compatibility	the state of being able to exist or be used together	antonym	20058	incompatibility	the state of not being able to exist or be used together
1934	20059	compatibility	the state of being able to exist or be used together	hyponym	23625	accord	"an official agreement


"
1943	20274	recreation	enjoyable leisure activity.	hypernym	24136	rejuvenation	the act of making younger or more vital
1944	20277	rest	being in the state of not working	hyponym	25473	laziness	the quality or condition of being lazy
1949	20282	business	a commercial organization	hyponym	23240	trade	a transfer; an exchange.
1953	20564	practice	the customary or expected procedure or way of doing something. 	hypernym	17687	activity	an action taken in pursuit of an objective
1954	20564	practice	the customary or expected procedure or way of doing something. 	hyponym	21191	cooperation	the action or process of cooperating.
1955	20564	practice	the customary or expected procedure or way of doing something. 	hyponym	19304	ritual	a religious or solemn ceremony involving a series of actions performed according to a prescribed order. 
1957	22539	practice	a session of practising	hypernym	25900	use	the action of using or state of being use; a purpose or way in which something can be used.
1959	20288	operation	a business organization; a company. 	hypernym	17687	activity	an action taken in pursuit of an objective
1960	24481	procedure	a series of actions conducted in a certain order or manner.	hypernym	24667	work	activity involving mental or physical effort done in order to achieve a result.
1964	25772	operation	a set of military actions carried out with a certain goal or goals.	hypernym	17687	activity	an action taken in pursuit of an objective
1969	23830	stock	a supply of goods or materials available for sale or use	hypernym	23771	accumulation	Gathered to one location
1970	23780	bank	the land alongside or sloping down to a river or lake.	hypernym	17413	ridge	a long narrow hilltop, mountain range, or watershed
1972	20317	aspiration	a hope or ambition. 	hypernym	20331	ambition	the hope of accompllishing some goal, often over a long time, and involving considerable effort.
1973	20331	ambition	the hope of accompllishing some goal, often over a long time, and involving considerable effort.	hyponym	20317	aspiration	a hope or ambition. 
1980	20504	difficulty	to state of being hard to deal with	hyponym	22598	wall	a side of a building or room
1981	20504	difficulty	to state of being hard to deal with	hyponym	19286	plight	a dangerous, difficult, or otherwise unfortunate situation. 
1982	20504	difficulty	to state of being hard to deal with	hyponym	19280	pinch	a difficult situation
1983	20504	difficulty	to state of being hard to deal with	hyponym	19284	jam	informal an awkward situation or predicament:                                            I' m in a jam.
1988	20528	peril	a situation of serious and immediate danger. 	hypernym	23973	danger	the possibility of suffering harm or injury.
1991	20563	custom	a traditional and widely accepted way of behaving or doing something that is specific to a particular society, place, or time. 	hypernym	23240	trade	a transfer; an exchange.
2006	23626	convention	an agreement between states, especially one less formal than a treaty.  	hyponym	16033	conformity	compliance with conventions, rules, or laws.
2009	20660	toke	a pull on a cigarette or pipe, typically one containing cannabis. 	hypernym	20659	drag	an act of inhaling smoke from a cigarette. 
2011	20678	joint	prison.	hypernym	24734	conjunction	an instance of two or more events occurring at the same point in time or space.
2014	24058	dope	information.	hypernym	24063	details	specific information
2017	20706	crack	a potent hard crystalline form of cocaine broken into small pieces.	hypernym	20757	blemish	a small mark or flaw which spoils the appearance of something. 
2020	20736	help	assistance	hypernym	17687	activity	an action taken in pursuit of an objective
2024	21780	assistant	a person who ranks below a senior person.	hypernym	19589	worker	a person who works.
2025	21780	assistant	a person who ranks below a senior person.	hyponym	25413	secretary	the person in charge of a subsection of the government, i.e. the Secretary of Defense
2026	20740	duty	a moral or legal obligation; a task required as part of one' s job. 	hypernym	24667	work	activity involving mental or physical effort done in order to achieve a result.
2027	20740	duty	a moral or legal obligation; a task required as part of one' s job. 	hyponym	20742	task	a piece of work. 
2044	20744	obligation	an act or course of action to which a person is morally or legally bound	hypernym	25529	state	general descriptive term of a phase of matter. 
2045	20746	assignment	a task or duty assigned to someone	hypernym	18714	distribution	the fact of handing or sharing out  to a number of recipients.
2047	20757	blemish	a small mark or flaw which spoils the appearance of something. 	hyponym	17399	burn	a small stream. (Scottish English)
2049	20757	blemish	a small mark or flaw which spoils the appearance of something. 	hyponym	16628	chip	a small, thin piece removed in the course of chopping, cutting, or breaking a hard material
2050	20757	blemish	a small mark or flaw which spoils the appearance of something. 	hyponym	12991	stigma	a mark of disgrace associated with a particular circumstance, quality, or person.
2051	20757	blemish	a small mark or flaw which spoils the appearance of something. 	hyponym	20706	crack	a potent hard crystalline form of cocaine broken into small pieces.
2052	20762	blister	a small bubble on the skin filled with serum and typically caused by friction or burning or a similar swelling, filled with air or fluid, on a surface. 	hypernym	12984	fault	an unattractive or unsatisfactory feature
2056	21533	dissimilarity	the state of being not similar or different from something	hypernym	25261	difference	the remainder left after subtraction of one value from another
2059	22790	membership	the body of members	hypernym	16075	body	the physical structure, including the bones, flesh, and organs, of a person or an animal. 
2066	20994	performance	an act of performing a play, concert, or other form of entertainment.	hyponym	12824	interpretation	explanation; the act or result of interpreting
2067	20994	performance	an act of performing a play, concert, or other form of entertainment.	hypernym	25586	demonstration	public display and expression of support of or opposition to an issue.
2069	21018	importance	the state or quality of being important	hypernym	22172	value	the usefulness of an Entity with respect to some Purpose.  
2070	21018	importance	the state or quality of being important	hyponym	25365	significance	characterization of whether an event occurs randomly
2071	21018	importance	the state or quality of being important	hyponym	19228	account	1. a description of an event or experience.
2072	25365	significance	characterization of whether an event occurs randomly	hypernym	21018	importance	the state or quality of being important
2073	25365	significance	characterization of whether an event occurs randomly	hyponym	25921	consequence	result of
2090	25733	capture	the event of taking someone or something captive.	hyponym	16177	abduction	the action or condition of being taken away illegally by force or deception.
2093	21096	co-star	a performer appearing with another or others of equal importance. 	hypernym	21095	star	an important performer
2106	21161	destruction	an event of destroying	hyponym	21868	annihilation	killing, esp. of people
2108	21868	annihilation	killing, esp. of people	hypernym	21161	destruction	an event of destroying
2111	21171	dismantlement	the act of taking something apart.	antonym	21044	fabrication	construction or manufacturing  of an industrial product, especially from prepared components
2112	21171	dismantlement	the act of taking something apart.	hypernym	17687	activity	an action taken in pursuit of an objective
2113	21171	dismantlement	the act of taking something apart.	antonym	15631	assemblage	a collection or gathering
2129	21188	collusion	secret or illegal cooperation in order to cheat or deceive others	hypernym	23623	agreement	 negotiated and typically legally binding arrangement.
2130	21191	cooperation	the action or process of cooperating.	hypernym	20564	practice	the customary or expected procedure or way of doing something. 
2145	25453	wheel	the part of the vehicule which holds a tire. 	hypernym	16891	helm	a helmet.
2147	21243	board	A long, flat object manufactured for multipurpose use, generally made of wood or particle board and utilized in construction. Other kinds of boards include those for extreme sports, such as snowboards, etc.	hypernym	19636	sheet	a flat , frequently rectangular portion of a substance
2171	21288	incursion	 an invasion or attack, especially a sudden or brief one.	hypernym	13945	entrance	an act of entering
2175	21292	onslaught	 a fierce or destructive attack.	hypernym	19289	trouble	difficulty or problems. 
2204	21402	indication	a sign or symptom	hyponym	26698	clue	"(with negation or question, usually with ""have"") knowledge."
2205	21402	indication	a sign or symptom	hyponym	12913	evidence	 information indicating whether a belief or proposition is true or valid. 
2206	21402	indication	a sign or symptom	hypernym	13177	communication	the action of communicating
2207	21402	indication	a sign or symptom	hyponym	25905	symptom	deviation from normal function
2208	25905	symptom	deviation from normal function	hypernym	21402	indication	a sign or symptom
2217	21446	vessel	a ship or large boat.  	hyponym	14953	basin	a large bowl or open container for washing in, preparing food, or holding liquid
2218	21446	vessel	a ship or large boat.  	hyponym	16748	bowl	the volume contained by a round, deep dish or basin
2219	21446	vessel	a ship or large boat.  	hyponym	14946	tin	a container made of tinplate or aluminium, typically used for baking or storing
2220	21446	vessel	a ship or large boat.  	hyponym	16741	bottle	the volume of a container with a narrow neck, used for storing liquids
2221	21446	vessel	a ship or large boat.  	part_meronym	22590	brim	the (sometimes projecting) edge or rim of a hollow vessel.
2222	21446	vessel	a ship or large boat.  	hyponym	15042	tub	an open, flat-bottomed, usually round container
2223	21452	bird	an aircraft.	hyponym	18903	poultry	.mass noun chickens, turkeys, ducks, and geese; domestic fowl. 
2233	21514	encumbrance	a burden or impediment.	hypernym	21513	impediment	a hindrance or obstruction. 
2234	21514	encumbrance	a burden or impediment.	hyponym	16436	clog	a shoe with a thick wooden sole. 
2235	21513	impediment	a hindrance or obstruction. 	hyponym	25820	blockade	an act of preventing access to an area.
2236	21513	impediment	a hindrance or obstruction. 	hyponym	21514	encumbrance	a burden or impediment.
2237	21513	impediment	a hindrance or obstruction. 	hyponym	16738	block	one city street length
2242	21521	hardship	a difficulty or challenge	hypernym	19287	misfortune	an unfortunate event. 
2243	25693	restraint	the act of restraining or holding back	hypernym	25798	control	a subject or group of subjects in an experiment which are left untreated and are then compared with treated subjects in order to validate or invalidate a hypothesis
2244	25693	restraint	the act of restraining or holding back	hyponym	18360	confinement	the action of forcing or keeping withing a contained area.
2247	21526	restraint	the state or fact of being restrained	hypernym	25897	limitation	a limit.
2254	21542	like	a person or thing that is similar to a familiar one	hypernym	16250	kind	a class or type of people or things having similar characteristics
2256	25261	difference	the remainder left after subtraction of one value from another	hyponym	21533	dissimilarity	the state of being not similar or different from something
2257	25261	difference	the remainder left after subtraction of one value from another	hyponym	21556	distinction	a marked difference or contrast.
2261	21556	distinction	a marked difference or contrast.	hypernym	25261	difference	the remainder left after subtraction of one value from another
2266	22433	squeal	a long, high-pitched cry or noise	hypernym	24583	howl	a long doleful cry uttered by an animal such as a dog.
2273	21595	bearing	a person' s way of standing, moving, or behaving.	hypernym	25536	manner	the way in which an action is conducted by an agent. 
